"","X","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usroriginalnonemissing","nysid","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3"
"1",58,1,1,11,1,5,2,1,2,1,5,5,2,5,4,2,1,3,4,1,"Rural",249502,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1
"2",59,1,1,11,2,5,1,1,1,1,4,5,2,5,5,4,2,3,4,1,"Suburban",408202,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1.098612289,3
"3",60,1,1,11,2,5,1,1,3,5,5,4,5,5,5,3,4,2,4,1,"Rural",506002,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,1.386294361,2
"4",61,1,1,11,2,4,1,1,3,5,5,5,2,5,5,3,4,3,4,2,"Suburban",227402,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"5",62,1,1,11,2,5,1,5,5,4,5,5,5,5,5,2,2,3,4,1,"Rural",53302,0,1,1,0,0,0,0,1,0,0,0,0,3,0,3,1.386294361,3
"6",65,1,1,11,3,1,1,1,2,2,4,4,2,4,4,2,2,1,4,1,"Urban",701002,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"7",66,1,1,11,3,5,1,1,2,2,4,5,1,5,5,3,3,3,4,2,"Urban",574303,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"8",67,1,1,11,3,4,1,1,2,2,4,5,2,5,5,2,2,2,4,1,"Suburban",256302,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"9",68,1,1,11,3,4,1,1,2,2,4,5,2,5,5,2,4,3,4,1,"Urban",705603,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"10",69,1,1,11,3,4,1,1,2,3,4,5,2,4,4,3,2,3,4,1,"Suburban",613704,0,0,1,0,0,0,0,1,0,1,0,0,3,0,3,1.386294361,1
