"","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usrNMNAR","HotDeckUSRMNAR","usroriginalnonemissing","HotDeckUSRMAR","usr1MAR","nysid","Urban","Suburban","Rural","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3","UrbanMAR","SuburbanMAR","RuralMAR","HDUrban","HDSuburban","HDRural","MissingUSRDummy","UrbanMNAR","RuralMNAR","HDUrbanMNAR","HDSuburbanMNAR","HDRuralMNAR"
"58",1,1,11,1,5,2,1,2,1,5,5,2,5,4,2,1,3,4,1,1,1,1,3,1,249502,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1,1,0,0,0,0,1,0,0,0,1,0,0
"59",1,1,11,2,5,1,1,1,1,4,5,2,5,5,4,2,3,4,1,2,2,2,1,2,408202,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1.098612289,3,0,1,0,1,0,0,0,1,0,0,1,0
"60",1,1,11,2,5,1,1,3,5,5,4,5,5,5,3,4,2,4,1,1,1,1,2,1,506002,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,1.386294361,2,1,0,0,0,1,0,0,0,0,1,0,0
"61",1,1,11,2,4,1,1,3,5,5,5,2,5,5,3,4,3,4,2,2,2,2,1,2,227402,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,1,0,0,0,1,0,0,1,0
"62",1,1,11,2,5,1,5,5,4,5,5,5,5,5,2,2,3,4,1,1,1,1,2,1,53302,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,3,1.386294361,3,1,0,0,0,1,0,0,0,0,1,0,0
"65",1,1,11,3,1,1,1,2,2,4,4,2,4,4,2,2,1,4,1,3,3,3,3,3,701002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"66",1,1,11,3,5,1,1,2,2,4,5,1,5,5,3,3,3,4,2,3,3,3,3,3,574303,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"67",1,1,11,3,4,1,1,2,2,4,5,2,5,5,2,2,2,4,1,2,2,2,2,2,256302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"68",1,1,11,3,4,1,1,2,2,4,5,2,5,5,2,4,3,4,1,3,3,3,3,3,705603,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"69",1,1,11,3,4,1,1,2,3,4,5,2,4,4,3,2,3,4,1,2,2,2,2,2,613704,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"70",1,1,11,3,5,1,1,3,1,5,5,1,5,5,4,4,3,4,1,1,1,1,1,1,385104,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"71",1,1,11,3,5,1,1,3,1,5,5,3,5,5,4,2,1,4,1,1,1,1,1,1,363902,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,1,0,0,1,0,0,0,0,0,1,0,0
"73",1,1,11,3,5,1,3,1,1,5,5,3,5,5,2,3,3,4,1,3,3,3,3,3,641102,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"74",1,1,11,3,5,1,3,4,4,5,5,2,3,4,3,2,2,4,2,1,1,1,1,1,280204,1,0,0,1.098612289,0,1,0,0,1,1,1,0,0,0,1,5,0,5,1.791759469,1,1,0,0,1,0,0,0,0,0,1,0,0
"75",1,1,11,3,4,2,1,1,1,5,5,2,5,5,4,2,2,4,1,2,2,2,2,2,231103,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"76",1,1,11,3,5,2,1,2,1,5,5,1,5,5,4,3,2,4,1,3,3,3,3,3,626502,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
"78",1,1,11,3,5,2,1,2,2,4,4,2,4,4,1,2,2,3,1,2,2,2,2,2,575802,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
"79",1,1,11,3,5,2,1,2,2,4,4,2,4,4,2,2,3,4,1,1,1,1,1,1,94304,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,2,1,0,0,1,0,0,0,0,0,1,0,0
"80",1,1,11,3,5,2,1,2,4,4,4,4,4,4,3,2,3,4,1,2,2,2,2,2,408704,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1.098612289,3,0,1,0,0,1,0,0,1,0,0,1,0
"82",1,1,11,3,5,2,1,4,4,4,4,2,4,4,3,3,3,3,2,2,2,2,2,2,421402,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2,0,1,0,0,1,0,0,1,0,0,1,0
"83",1,1,11,3,5,2,3,1,1,5,5,2,4,4,4,2,2,4,1,3,3,3,3,3,658102,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,0,1,0,0,1,0,0,1,0,0,1
