"","B","Std. Error of B","t of B","Average Standard Error","Average t-value","Average p-value","Min","Max"
"(Intercept)","0.86993","0.00257","-2.62963","0.12934","6.726","0","0.79171","0.93815"
"","(0.87669)","","","(2.69201)","(-3.36982)","","",""
"Urban","0.07078","0.00061","-1.18219","0.03115","2.27195","0.026","0.05965","0.09141"
"","(0.0715)","","","(2.69309)","(-3.60647)","","",""
"Suburban","0.13956","0.00083","-2.0498","0.03853","3.62171","0","0.11263","0.1596"
"","(0.14126)","","","(2.75623)","(-3.85826)","","",""
"Age","0.05347","0.00014","3.92425","0.00724","7.38899","0","0.05078","0.05774"
"","(0.05292)","","","(2.63333)","(-1.54343)","","",""
"Divorce","0.3181","0.0021","-0.32095","0.10097","3.15376","0.002","0.26434","0.36478"
"","(0.31878)","","","(4.86092)","(-4.74188)","","",""
"School Importance","-0.11251","0.00035","0.53494","0.01488","-7.56214","0","-0.12157","-0.10453"
"","(-0.11269)","","","(2.8508)","(-2.92134)","","",""
"Mean n = 922.66   R² = 0.15 Adj. R²= 0.15","","","","","","","(0.14)","(0.16)"
