"","technique","mis.variable","mis.type","mis.level","sum.bias.sq","sqrt.sbs"
"1","mi","age","mar.sex","05",4.25640987845321e-07,0.000652411670531208
"2","mi","usr","mar.sex","05",8.72987228900624e-07,0.000934337855864047
"3","mi","y1v19","mar.sex","05",7.84499605386923e-06,0.00280089201039048
"4","mi","age","mar.sex","25",6.24939878784518e-05,0.00790531390132307
"5","mi","usr","mar.sex","25",6.95640261106177e-05,0.00834050514720887
"6","mi","y1v19","mar.sex","25",5.58341861451448e-05,0.00747222765613741
"7","mi","age","mar.sex","50",0.00189795601300377,0.0435655369874373
"8","mi","usr","mar.sex","50",7.67196651583838e-05,0.00875897626200596
"9","mi","y1v19","mar.sex","50",0.00015004558761769,0.0122493096792305
"10","mi","age","mcar","05",1.69193940615996e-05,0.00411331910524817
"11","mi","usr","mcar","05",5.68360411879952e-06,0.00238403106498206
"12","mi","y1v19","mcar","05",9.59667242787926e-06,0.00309784964578323
"13","mi","age","mcar","25",0.000289454601461278,0.0170133653772932
"14","mi","usr","mcar","25",6.73414049098773e-05,0.00820618089673127
"15","mi","y1v19","mcar","25",5.38508222167627e-06,0.00232057799301731
"16","mi","age","mcar","50",0.00248434952790804,0.049843249572114
"17","mi","usr","mcar","50",0.000170906941566959,0.0130731381682807
"18","mi","y1v19","mcar","50",0.000266037287517471,0.0163106495124342
"19","mi","age","mnar","05",2.85889508223276e-06,0.00169082674518496
"20","mi","usr","mnar","05",1.44898689765527e-07,0.00038065560519389
"21","mi","y1v19","mnar","05",8.41399573664596e-06,0.00290068883830134
"22","mi","age","mnar","25",0.000280001740540564,0.0167332525391976
"23","mi","usr","mnar","25",6.37305855921776e-06,0.00252449174275096
"24","mi","y1v19","mnar","25",0.000256330139248811,0.0160103135274988
"25","mi","age","mnar","50",0.00146360919347968,0.0382571456525403
"26","mi","usr","mnar","50",9.28319308774575e-05,0.00963493284239478
"27","mi","y1v19","mnar","50",0.00209756494166871,0.0457991805785727
"28","hot","age","mar.sex","05",0.000999722150452294,0.0316183831093921
"29","hot","usr","mar.sex","05",6.56246736879599e-07,0.000810090573256842
"30","hot","y1v19","mar.sex","05",0.000551774829031266,0.0234898878037181
"31","hot","age","mar.sex","25",0.0354888267516792,0.188384783758347
"32","hot","usr","mar.sex","25",5.58729867193276e-06,0.00236374674445736
"33","hot","y1v19","mar.sex","25",0.0162924036621728,0.127641700326237
"34","hot","age","mar.sex","50",0.216065965282268,0.4648289634718
"35","hot","usr","mar.sex","50",2.55632392827288e-05,0.00505601021386714
"36","hot","y1v19","mar.sex","50",0.104432787450951,0.323160621751708
"37","hot","age","mcar","05",0.00116783671287008,0.0341736259836453
"38","hot","usr","mcar","05",1.92092795339801e-06,0.00138597545194639
"39","hot","y1v19","mcar","05",0.000622345173756316,0.0249468469702348
"40","hot","age","mcar","25",0.0371791616898929,0.192818986850084
"41","hot","usr","mcar","25",1.9625740593276e-05,0.00443009487407166
"42","hot","y1v19","mcar","25",0.0164278248943222,0.128171076668343
"43","hot","age","mcar","50",0.215243615995815,0.463943548285581
"44","hot","usr","mcar","50",2.52211593070184e-05,0.00502206723441836
"45","hot","y1v19","mcar","50",0.129707198400698,0.36014885589253
"46","hot","age","mnar","05",0.00138874705391961,0.0372658966606147
"47","hot","usr","mnar","05",7.65233728846107e-07,0.000874776387910709
