"","technique","mis.variable","mis.type","mis.level","sum.bias.sq","sqrt.sbs","mean.rng"
"1","mi","age","mar.sex","05",6.32827101819605e-06,0.00251560549732983,0.043208
"2","mi","usr","mar.sex","05",2.53142990428148e-05,0.00503133173651021,0.0211
"3","mi","y1v19","mar.sex","05",8.66002655529818e-05,0.00930592636726628,0.040778
"4","mi","age","mar.sex","25",0.000455306168758458,0.0213379045072017,0.100468
"5","mi","usr","mar.sex","25",0.00367463000241787,0.0606187264994726,0.038704
"6","mi","y1v19","mar.sex","25",0.00151234461524416,0.0388888752118669,0.080738
"7","mi","age","mar.sex","50",0.00640517730485575,0.0800323516139302,0.17303
"8","mi","usr","mar.sex","50",0.00536094300226213,0.0732184608023286,0.053284
"9","mi","y1v19","mar.sex","50",0.00184906303415033,0.0430007329489897,0.135694
"10","mi","age","mcar","05",7.11394024293757e-05,0.00843441772912485,0.048862
"11","mi","usr","mcar","05",0.000315452537281085,0.0177609835673897,0.019616
"12","mi","y1v19","mcar","05",3.95590493583637e-05,0.00628959850533909,0.035806
"13","mi","age","mcar","25",0.000872402243066406,0.0295364561697304,0.103156
"14","mi","usr","mcar","25",0.00326362087018604,0.0571281092824367,0.03976
"15","mi","y1v19","mcar","25",0.000199790190831803,0.014134715803008,0.10378
"16","mi","age","mcar","50",0.00753494636535069,0.0868040688294661,0.169592
"17","mi","usr","mcar","50",0.00994643900584476,0.0997318354681431,0.077458
"18","mi","y1v19","mcar","50",0.000822574656549564,0.028680562347164,0.139148
"19","mi","age","mnar","05",0.000160231127548197,0.0126582434621948,0.042336
"20","mi","usr","mnar","05",2.16874546877532e-06,0.00147266610906048,0.020998
"21","mi","y1v19","mnar","05",6.12860033222742e-05,0.00782853775121984,0.043742
"22","mi","age","mnar","25",0.00189692180606929,0.04355366581666,0.107924
"23","mi","usr","mnar","25",0.00017215246080276,0.0131206882747347,0.041184
"24","mi","y1v19","mnar","25",0.000746915437841167,0.027329753709852,0.096534
"25","mi","age","mnar","50",0.0139134516520894,0.117955295142225,0.235828
"26","mi","usr","mnar","50",0.00532787314262654,0.0729922813907508,0.104738
"27","mi","y1v19","mnar","50",0.00536312289512888,0.0732333455136994,0.127616
"28","hot","age","mar.sex","05",0.00304782298237172,0.0552070917760727,0.035424
"29","hot","usr","mar.sex","05",6.72117013540736e-05,0.00819827429121968,0.011772
"30","hot","y1v19","mar.sex","05",0.00209965603388419,0.0458220038178623,0.025024
"31","hot","age","mar.sex","25",0.10589097952422,0.325408941985649,0.092952
"32","hot","usr","mar.sex","25",0.000265706530098688,0.0163005070503555,0.022816
"33","hot","y1v19","mar.sex","25",0.0646868727104641,0.254336141180258,0.072362
"34","hot","age","mar.sex","50",0.638797057357079,0.799247807226945,0.141648
"35","hot","usr","mar.sex","50",0.00128051367524304,0.0357842657496705,0.041874
"36","hot","y1v19","mar.sex","50",0.421300060745844,0.649076313499302,0.1215
"37","hot","age","mcar","05",0.0035855412364762,0.0598793890790162,0.033578
"38","hot","usr","mcar","05",0.00015117363146542,0.0122952686617829,0.0128
"39","hot","y1v19","mcar","05",0.00252822041183551,0.0502814121901475,0.032228
"40","hot","age","mcar","25",0.111931213084575,0.334561224717651,0.09705
"41","hot","usr","mcar","25",0.0013793480395387,0.0371395751125224,0.024724
"42","hot","y1v19","mcar","25",0.0655985312649981,0.256122102257884,0.078406
"43","hot","age","mcar","50",0.63945083141395,0.799656695972684,0.176822
"44","hot","usr","mcar","50",0.00178383071483631,0.0422354201451378,0.046558
"45","hot","y1v19","mcar","50",0.510406231245228,0.714427205000781,0.164196
"46","hot","age","mnar","05",0.0042426217234564,0.0651354106723555,0.033856
"47","hot","usr","mnar","05",3.28065951342e-05,0.00572770417656149,0.013436
"48","hot","y1v19","mnar","05",0.00231484026196483,0.0481127868862824,0.033378
"49","hot","age","mnar","25",0.122626911774876,0.350181255601833,0.09615
"50","hot","usr","mnar","25",0.00238400840736871,0.0488263085576691,0.024478
